RefNo,Name,COUNTRY,REGION,Constituency/District,Year First Elected/Appointed,Out/Not Out (When First Elected),Year Out,Year Leaving Office,LGBTQ,Gender Identity,Party Affiliation,Party Ideology Family,Legislative Body,Level of Government,Position,Biography/Website,Elected/Appointed,City,State,Age,Current,Source,Race/Ethnicity
174,Aziza Lake,Antigua & Barbuda,North America,#N/A,2017,#N/A,#N/A,#N/A,Queer,#N/A,Labour Party,Left,Antigua & Barbuda Senate,Parliament,,#N/A,Appointed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
186,Osvaldo López,Argentina,South America,Tierra del Fuego,2011,#N/A,#N/A,#N/A,Gay,#N/A,New Encounter,Left,Argentinian Senate,Parliament,,#N/A,Appointed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
572,Analuz Carol,Argentina,South America,Tierra del Fuego,2015,Out,2015,#N/A,Lesbian,#N/A,Front for Victory,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
573,Leo Grosso,Argentina,South America,Buenos Aires,2011,Not Out,2018,#N/A,Gay,#N/A,Evita Movement,Left,MP,Parliament,,https://leonardogrosso.org/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1,Desiree Croes,Aruba,North America,#N/A,2011,Out,2011,#N/A,Queer,#N/A,Aruban People's Party,Center Right,Aruba Senate,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,Paul O'Grady,Australia,Australasia,New South Wales,1988,Not Out,1990,1996,Gay,#N/A,Labor Party,Left,New South Wales legislative Assembly,State Legislature,,#N/A,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
3,Michael Egan,Australia,Australasia,New South Wales,1986,Out,1986,2005,Gay,#N/A,Labor Party,Left,New South Wales legislative Assembly,State Legislature,,#N/A,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
4,Louise Pratt,Australia,Australasia,Western Australia,2001,Out,2001,2007,Lesbian,#N/A,Labour Party,Left,Parliament of Western Australia,State Legislature,,https://www.louisepratt.com/,#N/A,#N/A,Western Australi,#N/A,#N/A,#N/A,#N/A
5,Giz Watson,Australia,Australasia,Western Australia,1997,Out,1997,2013,Lesbian,#N/A,Green Party,Green,Parliament of Western Australia,State Legislature,,#N/A,#N/A,#N/A,Western Australi,#N/A,#N/A,#N/A,#N/A
6,Helen Westwood,Australia,Australasia,New South Wales,2007,Out,2007,2015,Lesbian,#N/A,Labor Party,Left,New South Wales legislative Assembly,State Legislature,,#N/A,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
7,Penny Sharpe,Australia,Australasia,New South Wales,2005,Out,2005,#N/A,Lesbian,#N/A,Labor Party,Left,New South Wales legislative Assembly,State Legislature,,#N/A,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
8,Don Harwin,Australia,Australasia,New South Wales,2011,Not Out,2014,#N/A,Gay,#N/A,Liberal Party,Center Right,New South Wales legislative Assembly,State Legislature,,http://www.donharwin.com.au/about.html,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
9,Shayne Mallard,Australia,Australasia,New South Wales,2015,Out,2015,#N/A,Gay,#N/A,Liberal Party,Center Right,New South Wales legislative Assembly,State Legislature,,http://www.shaynemallard.com.au/,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
10,Lynn MacLaren,Australia,Australasia,Western Australia - South Metropolitan Region,2005,Out,2005,#N/A,Lesbian,#N/A,Green Party,Green,Parliament of Western Australia,State Legislature,,#N/A,#N/A,#N/A,Western Australi,#N/A,#N/A,#N/A,#N/A
