country,country_code,nutslevel,nuts2,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Austria,AT,2,AT11,Burgenland,EP,1996,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,34398,213678,163916,157792
Austria,AT,2,AT11,Burgenland,EP,1996,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,4752,213678,163916,157792
Austria,AT,2,AT11,Burgenland,EP,1996,LIF,LIBERAL FORUM,LIBERALES FORUM,605,3905,213678,163916,157792
Austria,AT,2,AT11,Burgenland,EP,1996,N,CITIZENS' INITIATIVE FOR THE RETENTION OF NEUTRALITY,DIE NEUTRALEN - BURGERINITIATIVE,1814,937,213678,163916,157792
Austria,AT,2,AT11,Burgenland,EP,1996,OTHER,NA,NA,NA,1382,213678,163916,157792
Austria,AT,2,AT11,Burgenland,EP,1996,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,52256,213678,163916,157792
Austria,AT,2,AT11,Burgenland,EP,1996,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,60162,213678,163916,157792
Austria,AT,2,AT11,Burgenland,EP,1999,CSA,NA,NA,NA,1266,214798,142945,137686
Austria,AT,2,AT11,Burgenland,EP,1999,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,24340,214798,142945,137686
Austria,AT,2,AT11,Burgenland,EP,1999,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,5576,214798,142945,137686
Austria,AT,2,AT11,Burgenland,EP,1999,LIF,LIBERAL FORUM,LIBERALES FORUM,605,1784,214798,142945,137686
Austria,AT,2,AT11,Burgenland,EP,1999,OTHER,NA,NA,NA,462,214798,142945,137686
Austria,AT,2,AT11,Burgenland,EP,1999,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,46986,214798,142945,137686
Austria,AT,2,AT11,Burgenland,EP,1999,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,57272,214798,142945,137686
Austria,AT,2,AT11,Burgenland,EP,2004,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,4761,220205,127520,123880
Austria,AT,2,AT11,Burgenland,EP,2004,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,7232,220205,127520,123880
Austria,AT,2,AT11,Burgenland,EP,2004,LDM,NA,NA,NA,14965,220205,127520,123880
Austria,AT,2,AT11,Burgenland,EP,2004,OTHER,NA,NA,NA,462,220205,127520,123880
Austria,AT,2,AT11,Burgenland,EP,2004,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,42354,220205,127520,123880
Austria,AT,2,AT11,Burgenland,EP,2004,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,54106,220205,127520,123880
Austria,AT,2,AT11,Burgenland,EP,2009,BZO,ALLIANCE FOR THE FUTURE OF AUSTRIA,BUNDNIS ZUKUNFT OSTERREICH,599,2693,231698,121616,118067
