Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,pct99to100,3506661,3648968,535568,266171,737076,317720,835337,957096,142307,90869,26141,25297
1989:Q3,pct80to99,8881595,10366134,3026434,693326,909468,2088491,1435340,2213075,1484540,1151198,245477,87865
1989:Q3,pct60to80,3409858,4254815,1416899,438030,223047,1022624,278298,875917,844956,571597,249456,23903
1989:Q3,pct40to60,2506203,2931970,999470,250976,118298,669703,245229,648293,425767,259056,160147,6564
1989:Q3,pct20to40,1517471,1706905,669344,172205,40742,275437,127819,421358,189434,113475,70138,5821
1989:Q3,pct00to20,586789,650220,243228,75641,23117,111799,47603,148833,63431,24496,32847,6088
1989:Q4,pct99to100,3593060,3741443,573691,270453,742769,326387,847979,980164,148383,96669,25490,26224
1989:Q4,pct80to99,9086487,10591182,3094649,698794,946854,2153666,1440512,2256707,1504695,1168758,250079,85858
1989:Q4,pct60to80,3474548,4340355,1434894,442082,227950,1058531,284464,892434,865807,585248,256489,24070
1989:Q4,pct40to60,2520833,2962232,997089,256254,126034,674526,247921,660407,441399,267759,166097,7543
1989:Q4,pct20to40,1523624,1722854,663125,177932,44971,286820,120819,429187,199230,115677,77743,5810
1989:Q4,pct00to20,593292,658858,230868,80259,24973,114191,55135,153432,65566,26004,33386,6176
1990:Q1,pct99to100,3565384,3722513,571751,265544,679237,333806,865979,1006196,157128,104492,23291,29345
1990:Q1,pct80to99,9101080,10633731,3081432,714827,901276,2219684,1438053,2278459,1532652,1198748,246814,87090
1990:Q1,pct60to80,3500226,4373490,1449217,450251,217979,1064092,293461,898490,873263,603155,246047,24061
1990:Q1,pct40to60,2547206,2997621,1009343,269663,125441,670260,251965,670950,450415,279583,162381,8451
1990:Q1,pct20to40,1551731,1753741,679840,182860,46337,290562,120504,433638,202010,119508,76478,6024
1990:Q1,pct00to20,625426,697876,257279,83986,24395,114795,57665,159757,72450,29426,37310,5714
1990:Q2,pct99to100,3670342,3835122,603587,269666,710864,349691,870319,1030996,164781,111843,22240,30698
1990:Q2,pct80to99,9205551,10761670,3127723,719211,921026,2276856,1438451,2278403,1556119,1223062,247411,85646
1990:Q2,pct60to80,3534697,4420107,1456795,453525,230356,1078444,299576,901411,885410,616005,245462,23943
1990:Q2,pct40to60,2556721,3019278,1001679,273782,127581,677951,256702,681582,462557,289016,164313,9228
1990:Q2,pct20to40,1560374,1769795,671501,188405,51325,298388,121571,438605,209421,122866,80487,6068
1990:Q2,pct00to20,624404,701302,244482,87922,23401,118501,62436,164560,76897,32619,38797,5481
1990:Q3,pct99to100,3549720,3717415,594084,259799,548934,352535,884251,1077812,167695,118065,21223,28407
1990:Q3,pct80to99,9151268,10722473,3100786,731096,780957,2368723,1440732,2300179,1571205,1241885,249701,79619
1990:Q3,pct60to80,3496590,4397482,1471593,457851,197536,1055564,305348,909590,900892,629123,247702,24067
1990:Q3,pct40to60,2568193,3044005,1017846,286322,119083,661966,259282,699507,475812,297775,167709,10328
1990:Q3,pct20to40,1574890,1791948,693600,190850,48355,296104,118400,444639,217058,125337,85820,5901
1990:Q3,pct00to20,663397,743789,280043,90328,21270,116570,63723,171856,80392,34551,40147,5694
1990:Q4,pct99to100,3670943,3845404,595571,255525,610607,359220,919002,1105479,174462,122966,19809,31687
1990:Q4,pct80to99,9318076,10905725,3076490,741472,888716,2402800,1431471,2364776,1587650,1254640,252322,80688
1990:Q4,pct60to80,3601914,4518966,1479210,462360,215452,1112383,315213,934348,917052,643781,249133,24138
1990:Q4,pct40to60,2599749,3087484,1020221,293938,134538,667921,259168,711698,487736,306242,170422,11072
1990:Q4,pct20to40,1596273,1819385,700804,194447,55565,308910,109544,450115,223112,126739,90407,5966
1990:Q4,pct00to20,679116,761637,288156,91378,25218,118824,60266,177795,82521,34887,42297,5337
1991:Q1,pct99to100,3793600,3972531,610120,258192,703463,365600,945078,1090077,178930,127998,17347,33585
1991:Q1,pct80to99,9523324,11118601,3092281,748899,1045504,2403635,1408669,2419613,1595276,1266596,248374,80306
1991:Q1,pct60to80,3725422,4643340,1472845,466995,239433,1193956,324882,945230,917918,656851,236664,24403
1991:Q1,pct40to60,2624549,3116373,1013730,299061,155737,681186,258246,708413,491824,314142,165322,12360
1991:Q1,pct20to40,1621448,1843542,699789,200297,64407,328704,98902,451443,222093,128164,87686,6243
1991:Q1,pct00to20,692868,780149,297356,94385,31144,122977,57508,176779,87280,35401,46814,5065
1991:Q2,pct99to100,3778124,3963899,615567,254246,687773,377624,936575,1092114,185775,135342,15983,34450
1991:Q2,pct80to99,9522849,11139382,3090855,754954,1038060,2456819,1400403,2398292,1616534,1290765,247692,78077
1991:Q2,pct60to80,3728866,4656373,1475699,469069,241048,1203427,328743,938387,927508,670275,233064,24169
