Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Top1,23.5,20.9,8.6,18.9,42.9,8.9,44.7,25.9,3.8,3.2,3.2,14.9
1989:Q3,Next9,37.3,34.4,30.1,22.2,39.3,40.8,34.2,37.3,15.9,17.9,7.3,30.7
1989:Q3,Next40,35.5,37.4,49.4,39.9,16.7,45.8,19.6,31.7,49.9,52.4,46.2,32
1989:Q3,Bottom50,3.7,7.3,11.9,19,1.2,4.5,1.5,5.1,30.5,26.5,43.4,22.4
1989:Q4,Top1,23.6,21,9.1,18.7,42.8,9.1,44.2,25.9,3.8,3.3,2.8,16.6
1989:Q4,Next9,37.2,34.4,30.1,21.8,39,40.5,34.8,37.2,15.9,17.9,7.4,30.1
1989:Q4,Next40,35.6,37.5,49.4,40.2,17.1,46,19.3,31.8,49.6,52.2,45.6,32.1
1989:Q4,Bottom50,3.5,7.2,11.4,19.3,1.2,4.4,1.7,5.1,30.8,26.6,44.1,21.2
1990:Q1,Top1,23.5,20.8,9.3,17.9,42.1,9.1,44.5,25.9,3.9,3.3,2.9,17.1
1990:Q1,Next9,37.1,34.2,29.7,22,39,40.6,34.6,37.1,16.3,18.3,7.6,30.7
1990:Q1,Next40,35.8,37.6,49.1,40.6,17.6,46,19.3,31.8,49,51.7,44.8,31.6
1990:Q1,Bottom50,3.7,7.4,11.9,19.5,1.3,4.3,1.7,5.1,30.8,26.8,44.7,20.5
1990:Q2,Top1,23.7,21,9.7,17.8,42.6,9.2,44.6,25.8,3.9,3.3,2.7,18.2
1990:Q2,Next9,37,34.2,29.7,21.7,38.6,40.7,34.4,37.1,16.6,18.7,7.8,30.7
1990:Q2,Next40,35.8,37.5,49.1,40.8,17.4,45.8,19.2,32,48.6,51.2,44.2,31.6
1990:Q2,Bottom50,3.5,7.3,11.5,19.8,1.3,4.3,1.7,5.2,30.8,26.8,45.3,19.6
1990:Q3,Top1,23.2,20.5,9.8,16.9,40.9,9,44.6,26,3.9,3.4,2.5,20.5
1990:Q3,Next9,37,34.2,29.3,22,39,41.1,34.6,36.9,16.7,18.8,7.9,29
1990:Q3,Next40,36.1,37.8,48.7,41.2,18.6,45.8,19,31.9,48.4,51,43.6,32.5
1990:Q3,Bottom50,3.7,7.5,12.1,19.9,1.5,4.1,1.7,5.2,31,26.9,46,18
